
/subetealanutria/status/1008791703216705536|subetealanutria|1529349659|4|0|12|
/nocontextbmovie/status/1035164079017664512|subetealanutria|1535637323|<a href="https://t.co/GOerbWghgt" class="twitter-timeline-link u-hidden" data-pre-embedded="true" dir="ltr" >pic.twitter.com/GOerbWghgt</a>|0|6|5|
/VonChocolat/status/1034909933580550144|subetealanutria|1535576730|Venga, una hora más buscando algo para ver en Netflix y a la cama.|1|12|36|
/subetealanutria/status/1035178809417453572|subetealanutria|1535640835|Es que son dos temas. El puto cambio de hora en verano Y la puta hora de Berlín, que tenemos la misma hora que en Polonia nene solo una hora de diferencia con Arabia Saudí vamos no me jorobes<a href="https://t.co/wWEtlrSML1" rel="nofollow noopener" dir="ltr" data-expanded-url="https://twitter.com/SimonPerera/status/1035160178663084032" class="twitter-timeline-link u-hidden" target="_blank" title="https://twitter.com/SimonPerera/status/1035160178663084032" >link</a>|2|0|5|
/_ArcoIria_/status/1034799837055725568|subetealanutria|1535550481|- Partido Popular, Partido Popular|3|1018|1886|
/ICMarja/status/1034870131841748992|subetealanutria|1535567241|En Huesca hay una zona que puede etiquetarse como &quot;El Triangulo de Twitter&quot;.<a href="https://t.co/G0jEumhnWn" class="twitter-timeline-link u-hidden" data-pre-embedded="true" dir="ltr" >pic.twitter.com/G0jEumhnWn</a>|17|1383|2925|
/CgcCeci/status/1034544562155515904|subetealanutria|1535489619|PORFI, NECESITO DIFUSIÓN URGENTEMENTE DE ESTO.|12|1899|319|
/jan_Kapije/status/1035142466561814528|subetealanutria|1535632170|kasi lili li pona lukin. kule loje li pona tawa mi.<a href="https://t.co/RVj4WalUpf" class="twitter-timeline-link u-hidden" data-pre-embedded="true" dir="ltr" >pic.twitter.com/RVj4WalUpf</a>|1|1|0|
/Tess_Holliday/status/1034807072687177729|subetealanutria|1535552206|2826|9026|42992|
/Raspatuit/status/1034823326584188929|subetealanutria|1535556081|Mi zona de confort esta comia de mierda.|6|27|87|
/Sapoconchus/status/1035133620082683904|subetealanutria|1535630061|LOL, nos pasó en su dia en el piso de estudiantes. Con Orange. Me imagino que aún siguen intentando cobrar ese router.<a href="https://t.co/male5Mb6Yb" rel="nofollow noopener" dir="ltr" data-expanded-url="https://twitter.com/subetealanutria/status/1035128842229346305" class="twitter-timeline-link u-hidden" target="_blank" title="https://twitter.com/subetealanutria/status/1035128842229346305" >link</a>|1|1|1|
/subetealanutria/status/1035133995699372032|subetealanutria|1535630151|No he podido hablar con nadie porque se me ha gastado el bono de 100 minutos de este mes antes de que <a href="/masmovil" class="twitter-atreply pretty-link js-nav" dir="ltr" data-mentioned-user-id="45529474" ><s>@</s><b>masmovil</b></a> me contestara.|1|0|1|
/subetealanutria/status/1035133738584293376|subetealanutria|1535630089|Todo esto lo he escrito mientras esperaba a que me cogieran la llamada. 30 minutos de espera a un teléfono de <a href="/masmovil" class="twitter-atreply pretty-link js-nav" dir="ltr" data-mentioned-user-id="45529474" ><s>@</s><b>masmovil</b></a> que no es gratuito.|1|0|1|
/subetealanutria/status/1035132412626460673|subetealanutria|1535629773|Llamo y le cuento toda la historia a la operadora y me trata regular. No sé si no me entiende o no me escucha, porque acaba diciendo:|2|0|3|
/subetealanutria/status/1035132076259979264|subetealanutria|1535629693|Hoy:|3|0|2|
/subetealanutria/status/1035131606128840705|subetealanutria|1535629581|…así que aún queda tiempo.|2|0|1|
/subetealanutria/status/1035131096210579456|subetealanutria|1535629459|Pasan 25 días y la Nutria llama preocupada:|2|0|2|
/subetealanutria/status/1035130571306016768|subetealanutria|1535629334|—Os llamaremos para pasar a a recogerlo.|1|0|1|
/subetealanutria/status/1035130166895411202|subetealanutria|1535629238|La cosa fue más o menos así:|1|0|1|
/subetealanutria/status/1035129468539596801|subetealanutria|1535629071|Aunque el timo ya está hecho. Los meses que estuvimos con ellos con un Internet que no funcionaba por las mañanas no nos los quita nadie.|1|1|1|
/subetealanutria/status/1035129047804780544|subetealanutria|1535628971|O sea, la cantidad de tiempo que estoy invirtiendo para evitar que <a href="/masmovil" class="twitter-atreply pretty-link js-nav" dir="ltr" data-mentioned-user-id="45529474" ><s>@</s><b>masmovil</b></a> nos time es ridículamente grande.|1|1|1|
